Minute, Event, ScoreH, ScoreA, Player, 2nd Player
33, Goal  , 0, 1,  Lucia Pardo , Gabi Nunes
58, Substitute , 0, 1,  Jessica Aby, Gema Soliveres
68, Substitute , 0, 1,  Lice Chamorro, Sara Carrillo
68, Substitute , 0, 1,  Carla Morera, Ane Miren Martínez
69, Substitute , 0, 1,  Karen Araya, Estela Fernández
77, Yellow Card , 0, 1,  Carla Morera, 
78, Substitute , 0, 1,  Alba Aznar, Carla Armengol
78, Substitute , 0, 1,  Osinachi Ohale, Cristina Auñón
79, Substitute , 0, 1,  Racheal Kundananji, Lucia Pardo
82, Goal  , 0, 2,  Florencia Bonsegundo, 
87, Yellow Card , 0, 2,  Garazi Fácila, 
88, Substitute , 0, 2,  Aída Esteve, Itziar Pinillos
90+2, Goal  , 1, 2,  Carla Morera, 
90+5, Yellow Card , 1, 2,  Camila Sáez, 
